Feature,Importance,Rank
delay_customs_days,202,1
weather_index,167,2
delay_port_days,163,3
congestion_index,145,4
cumulative_delay_customs,133,5
propagation_port_to_customs,124,6
delay_accel_dep_to_port,117,7
delay_ratio_leg3,116,8
origin_encoded,111,9
delay_ratio_leg2,106,10
congestion_weather_interaction,105,11
delay_departure_days,104,12
departure_month,94,13
propagation_dep_to_port,88,14
cumulative_delay_port,86,15
disruption_severity,83,16
delay_ratio_leg1,81,17
delay_accel_port_to_customs,77,18
route_risk_score,74,19
destination_encoded,57,20
departure_day_of_week,54,21
customs_data_missing,47,22
is_peak_season,26,23
cumulative_delay_dep,25,24
congestion_impact,15,25
base_transit_days,8,26
planned_leg1_days,2,27
is_weekend_departure,2,28
planned_leg2_days,1,29
route_type_encoded,0,30
planned_leg3_days,0,31
high_disruption_flag,0,32
total_planned_days,0,33
route_factor,0,34
is_sea_route,0,35
